Time,Resolution
00:01,640x360
00:02,640x360
00:03,640x360
00:03,640x360
00:03,640x360
00:03,640x360
00:04,480x270
00:05,480x270
00:06,480x270
00:07,480x270
00:08,640x360
00:09,640x360
00:10,640x360
00:11,320x180
00:12,640x360
00:13,640x360
00:14,640x360
00:15,640x360
00:16,640x360
00:17,640x360
00:18,640x360
00:19,640x360
00:20,640x360
00:21,640x360
00:22,640x360
00:23,640x360
00:24,640x360
00:25,640x360
00:26,640x360
00:27,640x360
00:28,480x270
00:29,480x270
00:30,480x270
00:31,480x270
00:32,480x270
00:33,480x270
00:34,480x270
00:35,480x270
00:36,480x270
00:37,480x270
00:38,480x270
00:39,480x270
00:40,480x270
00:41,480x270
00:42,480x270
00:43,480x270
00:44,480x270
00:45,480x270
00:46,480x270
00:47,480x270
00:48,480x270
00:49,480x270
00:50,480x270
00:51,480x270
00:52,480x270
00:53,480x270
00:54,480x270
00:55,480x270
00:56,768x432
00:57,768x432
00:58,768x432
00:59,768x432
01:00,768x432
01:01,768x432
01:02,768x432
01:03,768x432
01:04,768x432
01:05,768x432
01:06,768x432
01:07,768x432
01:08,768x432
01:09,768x432
01:10,768x432
01:11,768x432
01:12,768x432
01:13,768x432
01:14,768x432
01:15,768x432
01:16,480x270
01:17,480x270
01:18,480x270
01:19,480x270
01:19,480x270
01:20,480x270
01:21,480x270
01:22,480x270
01:23,480x270
01:23,480x270
01:24,480x270
01:25,480x270
01:26,480x270
01:27,480x270
01:28,480x270
01:29,480x270
01:30,480x270
01:31,480x270
01:32,480x270
01:33,480x270
01:34,480x270
01:35,480x270
01:36,320x180
01:37,320x180
01:38,320x180
01:39,320x180
01:40,320x180
01:41,320x180
01:42,320x180
01:43,320x180
01:44,320x180
01:45,320x180
01:46,320x180
01:47,320x180
01:48,320x180
01:49,320x180
01:50,320x180
01:51,320x180
01:52,320x180
01:53,320x180
01:54,320x180
01:55,320x180
01:56,320x180
01:57,320x180
01:58,320x180
01:59,320x180
02:00,320x180
02:01,320x180
02:02,320x180
02:03,320x180
02:04,480x270
02:05,480x270
02:06,480x270
02:07,480x270
02:08,480x270
02:09,480x270
02:10,480x270
02:11,480x270
02:12,320x180
02:13,320x180
02:14,320x180
02:15,320x180
02:16,320x180
02:17,320x180
02:18,320x180
02:19,320x180
02:20,320x180
02:21,320x180
02:22,320x180
02:23,320x180
02:24,320x180
02:25,320x180
02:26,320x180
02:27,320x180
02:28,320x180
02:29,320x180
02:30,320x180
02:31,320x180
02:32,320x180
02:33,320x180
02:34,320x180
02:35,320x180
02:36,320x180
02:37,320x180
02:38,320x180
02:39,320x180
02:40,480x270
02:41,480x270
02:42,480x270
02:43,480x270
02:44,480x270
02:45,480x270
02:46,480x270
02:47,480x270
02:48,480x270
02:49,480x270
02:50,480x270
02:51,480x270
02:52,480x270
02:53,480x270
02:54,480x270
02:55,480x270
02:56,480x270
02:57,480x270
02:58,480x270
02:59,480x270
03:00,480x270
03:01,480x270
03:02,480x270
03:03,480x270
03:04,480x270
03:05,480x270
03:06,480x270
03:07,480x270
03:08,480x270
03:09,480x270
03:10,480x270
03:11,480x270
03:12,480x270
03:13,480x270
03:14,480x270
03:15,480x270
03:16,480x270
03:17,480x270
03:18,480x270
03:19,480x270
03:20,480x270
03:21,480x270
03:22,480x270
03:23,480x270
03:24,480x270
03:25,480x270
03:26,480x270
03:27,480x270
03:28,480x270
03:29,480x270
03:30,480x270
03:31,480x270
03:32,480x270
03:33,480x270
03:34,480x270
03:35,480x270
03:36,480x270
03:37,480x270
03:38,480x270
03:39,480x270
03:40,480x270
03:41,480x270
03:42,480x270
03:43,480x270
03:44,480x270
03:45,480x270
03:46,480x270
03:47,480x270
03:48,480x270
03:49,480x270
03:50,480x270
03:51,480x270
03:52,480x270
03:53,480x270
03:54,480x270
03:55,480x270
03:56,480x270
03:57,480x270
03:58,480x270
03:59,480x270
04:00,480x270
04:01,480x270
04:02,480x270
04:03,480x270
04:04,480x270
04:05,480x270
04:06,480x270
04:07,480x270
04:08,480x270
04:09,480x270
04:10,480x270
04:11,480x270
04:12,480x270
04:13,480x270
04:14,480x270
04:15,480x270
04:16,480x270
04:17,480x270
04:18,480x270
04:19,480x270
04:20,640x360
04:21,640x360
04:22,640x360
04:23,640x360
04:24,640x360
04:25,640x360
04:26,640x360
04:27,640x360
04:28,768x432
04:29,768x432
04:30,768x432
04:31,768x432
04:32,768x432
04:33,768x432
04:34,768x432
04:35,768x432
04:36,768x432
04:37,768x432
04:38,768x432
04:39,768x432
04:40,768x432
04:41,768x432
04:42,768x432
04:43,768x432
04:44,768x432
04:45,768x432
04:46,768x432
04:47,768x432
04:48,768x432
04:49,768x432
04:50,768x432
04:51,768x432
04:52,768x432
04:53,768x432
04:54,768x432
04:55,768x432
04:56,768x432
04:57,768x432
04:58,768x432
04:59,768x432
