Time,Resolution
00:00,480x270
00:01,480x270
00:02,480x270
00:03,480x270
00:04,480x270
00:05,480x270
00:06,480x270
00:07,480x270
00:08,480x270
00:09,320x180
00:10,320x180
00:11,320x180
00:12,640x360
00:13,480x270
00:14,480x270
00:15,480x270
00:16,480x270
00:17,480x270
00:18,480x270
00:19,480x270
00:20,480x270
00:21,480x270
00:22,480x270
00:23,480x270
00:24,480x270
00:25,480x270
00:26,480x270
00:27,480x270
00:28,480x270
00:29,480x270
00:30,480x270
00:31,480x270
00:32,480x270
00:33,480x270
00:34,480x270
00:35,480x270
00:36,480x270
00:37,480x270
00:38,480x270
00:39,480x270
00:40,480x270
00:41,480x270
00:42,480x270
00:43,480x270
00:44,1024x576
00:45,1024x576
00:46,1024x576
00:47,1024x576
00:48,1024x576
00:49,640x360
00:50,640x360
00:51,640x360
00:52,640x360
00:53,640x360
00:54,640x360
00:55,640x360
00:56,640x360
00:57,768x432
00:58,768x432
00:59,768x432
01:00,640x360
01:01,640x360
01:02,640x360
01:03,640x360
01:04,640x360
01:05,640x360
01:06,640x360
01:07,640x360
01:08,640x360
01:09,640x360
01:10,640x360
01:11,640x360
01:12,640x360
01:13,640x360
01:14,640x360
01:15,640x360
01:16,640x360
01:17,640x360
01:18,640x360
01:19,640x360
01:19,640x360
01:20,480x270
01:21,480x270
01:22,480x270
01:23,480x270
01:24,480x270
01:25,480x270
01:26,480x270
01:27,480x270
01:28,480x270
01:29,480x270
01:30,480x270
01:31,480x270
01:32,480x270
01:33,480x270
01:34,480x270
01:35,480x270
01:36,480x270
01:37,480x270
01:38,480x270
01:39,480x270
01:40,480x270
01:41,480x270
01:42,480x270
01:43,480x270
01:44,320x180
01:45,320x180
01:46,320x180
01:47,320x180
01:48,320x180
01:49,320x180
01:50,320x180
01:51,320x180
01:52,320x180
01:53,320x180
01:54,320x180
01:55,320x180
01:56,320x180
01:57,320x180
01:58,320x180
01:59,320x180
02:00,320x180
02:01,320x180
02:02,320x180
02:03,320x180
02:04,320x180
02:05,320x180
02:06,320x180
02:07,320x180
02:08,320x180
02:09,320x180
02:10,320x180
02:11,320x180
02:12,480x270
02:13,480x270
02:14,480x270
02:15,480x270
02:16,480x270
02:17,480x270
02:18,480x270
02:19,480x270
02:20,320x180
02:21,320x180
02:22,320x180
02:23,320x180
02:24,320x180
02:25,320x180
02:26,320x180
02:27,320x180
02:28,320x180
02:29,320x180
02:30,320x180
02:31,320x180
02:32,320x180
02:33,320x180
02:34,320x180
02:35,320x180
02:36,320x180
02:37,320x180
02:38,320x180
02:39,320x180
02:40,320x180
02:41,320x180
02:42,320x180
02:43,320x180
02:44,320x180
02:45,320x180
02:46,320x180
02:47,320x180
02:48,480x270
02:49,480x270
02:50,480x270
02:51,480x270
02:52,480x270
02:53,480x270
02:54,480x270
02:55,480x270
02:56,480x270
02:57,480x270
02:58,480x270
02:59,480x270
03:00,480x270
03:01,480x270
03:02,480x270
03:03,480x270
03:04,480x270
03:05,480x270
03:06,480x270
03:07,480x270
03:08,480x270
03:09,480x270
03:10,480x270
03:11,480x270
03:12,320x180
03:13,320x180
03:14,320x180
03:15,320x180
03:16,320x180
03:17,320x180
03:18,320x180
03:19,320x180
03:20,320x180
03:21,320x180
03:22,320x180
03:23,320x180
03:24,320x180
03:25,320x180
03:26,320x180
03:27,320x180
03:28,320x180
03:29,320x180
03:30,320x180
03:31,320x180
03:32,320x180
03:33,320x180
03:34,320x180
03:35,320x180
03:36,320x180
03:37,320x180
03:38,320x180
03:39,320x180
03:40,480x270
03:41,480x270
03:42,480x270
03:43,480x270
03:44,480x270
03:45,480x270
03:46,480x270
03:47,480x270
03:48,480x270
03:49,480x270
03:50,480x270
03:51,480x270
03:52,480x270
03:53,480x270
03:54,480x270
03:55,480x270
03:56,480x270
03:57,480x270
03:58,480x270
03:59,480x270
04:00,480x270
04:01,480x270
04:02,480x270
04:03,480x270
04:04,480x270
04:05,480x270
04:06,480x270
04:07,480x270
04:08,480x270
04:09,480x270
04:10,480x270
04:11,480x270
04:12,480x270
04:13,480x270
04:14,480x270
04:15,480x270
04:16,768x432
04:17,768x432
04:18,768x432
04:19,768x432
04:20,640x360
04:21,640x360
04:22,640x360
04:23,640x360
04:24,640x360
04:25,640x360
04:26,640x360
04:27,640x360
04:28,640x360
04:29,640x360
04:30,640x360
04:31,640x360
04:32,640x360
04:33,640x360
04:34,640x360
04:35,640x360
04:36,640x360
04:37,640x360
04:38,640x360
04:39,640x360
04:40,640x360
04:41,640x360
04:42,640x360
04:43,640x360
04:44,640x360
04:45,640x360
04:46,640x360
04:47,640x360
04:48,640x360
04:49,640x360
04:50,640x360
04:51,640x360
04:52,640x360
04:53,640x360
04:54,640x360
04:55,640x360
04:56,640x360
04:57,640x360
04:58,640x360
04:59,640x360
